??	??	??	??????	??1?id	??2?id	??3?id	??1???	??2???	??3???	??????	??id	????	????????id	????????	unknown01	unknown02	??????	????	unknown03	????	unknown04	unknown05
1	???	?????????????????*2??????*1	2	701	712	0	2	1	0	1000	1201	1	1201	2	2	3	100	40	0	1	0	0
2	????	??????????????????*2???*1	6	701	736	0	2	1	0	1000	1202	1	1202	2	3	4	100	60	0	1	0	0
3	????	?????????????????*2???*2	2	702	716	0	2	2	0	1000	1203	1	1203	2	2	3	100	40	0	1	0	0
4	????	?????????????????*2???*1	5	702	729	0	2	1	0	1000	1204	1	1204	2	3	4	100	60	0	1	0	0
5	?????	???????????????*2???*2	2	703	716	0	2	2	0	1000	1205	1	1205	2	2	3	100	40	0	1	0	0
6	???	?????????????*2??????*2	5	703	712	0	2	2	0	1000	1206	1	1206	2	3	4	100	60	0	1	0	0
7	????	??????????????*2???*2	2	704	716	0	2	2	0	1000	1207	1	1207	2	2	3	100	40	0	1	0	0
8	????	??????????????*2???*1	6	704	733	0	2	1	0	1000	1208	1	1208	2	3	4	100	60	0	1	0	0
9	???	???????????????*2???*3	1	705	716	0	2	3	0	1000	1209	1	1209	2	1	2	100	20	0	1	0	0
10	?????	?????????????????*2???*1	5	705	734	0	2	1	0	1000	1210	1	1210	2	3	4	100	60	0	1	0	0
11	???	????????????????*2???*3	4	707	716	0	2	3	0	1000	1211	1	1211	2	2	3	100	40	0	1	0	0
12	???	????????????????*2???*1	7	707	730	0	2	1	0	1000	1212	1	1212	2	3	4	100	60	0	1	0	0
13	????	?????????????????*2??????*1	4	708	715	0	2	1	0	1000	1213	1	1213	2	2	3	100	40	0	1	0	0
14	???	????????????????*3???*6	7	708	736	0	3	6	0	1000	1214	1	1214	2	3	4	100	60	0	1	0	0
15	?????	??????????????????*2???*2	4	707	718	0	2	2	0	1000	1215	1	1215	2	2	3	100	40	0	1	0	0
16	??	???????????????*2???*3	8	707	740	0	2	3	0	1000	1216	1	1216	2	3	4	100	60	0	1	0	0
17	???	?????????????*1???*1	1	709	716	0	1	1	0	1000	1217	1	1217	2	1	2	200	3	0	1	0	0
18	???	?????????????*1???*1	3	709	716	0	1	1	0	1000	1231	1	1231	2	2	3	200	6	0	1	0	0
19	???	????????????????*1???*1	2	710	716	0	1	1	0	1000	1219	1	1219	2	2	3	200	6	0	1	0	0
20	????	?????????????????*1???*1	6	710	716	0	1	1	0	1000	1220	1	1220	2	2	3	200	6	0	1	0	0
21	???????	???????????????????*5?????*1	4	1932	818	0	5	1	0	100	1901	1	1902	1	10	11	0	150	0	3	0	0
22	???????	???????????????????*10??????*1???*10	11	1932	819	1811	10	1	10	0	1902	1	1902	1	15	16	0	250	0	3	0	0
